,Name,Aggregate Rating,Type,Price,Latitude,Longitude,Sensor ID,Sensor
83,SamSam,4.0,Restaurant,3,-37.8128854265,144.9652101472,1,Bourke Street Mall (North)
85,The Tasty Spicy Hot Pot,3.2,Restaurant,2,-37.8128708585,144.9653952196,1,Bourke Street Mall (North)
86,Mister Close,4.3,Cafe,2,-37.8131646031,144.9658857286,1,Bourke Street Mall (North)
88,Superhiro,3.4,Restaurant,3,-37.8127556382,144.9651477858,1,Bourke Street Mall (North)
90,Instea,3.5,Beverages,1,-37.812835,144.965579,1,Bourke Street Mall (North)
92,"Louden Kitchen & Grill - The Swanston Hotel Melbourne, Grand Mercure",2.9,Restaurant,4,-37.812888605,144.9645935744,1,Bourke Street Mall (North)
93,David Jones Foodhall - Espresso Bar,3.4,Bakery,1,-37.8142288547,144.9649174511,1,Bourke Street Mall (North)
94,Pink. The Restaurant,2.2,Restaurant,4,-37.8140696682,144.9657834694,1,Bourke Street Mall (North)
96,Rozzi's Italian Canteen,3.0,Cafe,2,-37.8141165501,144.965801239,1,Bourke Street Mall (North)
97,Sushi Jin,3.0,Restaurant,2,-37.8129240981,144.9659239501,1,Bourke Street Mall (North)
99,Da Hu The Great Tiger 大虎,4.0,Restaurant,3,-37.812662,144.964924,1,Bourke Street Mall (North)
100,Father John Cafe,3.3,Cafe,2,-37.80999745,144.9722646922,40,Lonsdale St-Spring St (West)
101,Hudsons Coffee,3.3,Cafe,2,-37.810184723,144.9723193422,40,Lonsdale St-Spring St (West)
102,Anda Cafe,3.9,Cafe,2,-37.8096923027,144.9720742554,40,Lonsdale St-Spring St (West)
103,Master Roll Vietnam,3.1,Restaurant,2,-37.8096899188,144.9716105685,40,Lonsdale St-Spring St (West)
104,Mrs Parma's,4.3,Pub,3,-37.8106143629,144.9719136581,40,Lonsdale St-Spring St (West)
106,Le Petite Bourke,3.9,Cafe,2,-37.8106090652,144.9717225507,40,Lonsdale St-Spring St (West)
107,Mezzo,4.0,Restaurant,4,-37.8106691934,144.9717416614,40,Lonsdale St-Spring St (West)
109,Federici Bistro,3.9,Restaurant,4,-37.8108042831,144.9726640061,40,Lonsdale St-Spring St (West)
110,The Melbourne Supper Club,4.6,Restaurant,3,-37.8108705034,144.9726562947,40,Lonsdale St-Spring St (West)
111,Restaurant,4.5,Restaurant,4,-37.8108956671,144.9727213383,40,Lonsdale St-Spring St (West)
112,Daughter In Law,3.9,Restaurant,4,-37.8107423008,144.9714798108,40,Lonsdale St-Spring St (West)
114,Siglo,4.3,Bar,3,-37.8109282474,144.9726492539,40,Lonsdale St-Spring St (West)
115,City Wine Shop,4.6,Restaurant,3,-37.8109287772,144.9727196619,40,Lonsdale St-Spring St (West)
116,Juliet Melbourne,3.6,Bar,4,-37.8107698485,144.9714466184,40,Lonsdale St-Spring St (West)
117,Bar Saracen,4.1,Restaurant,4,-37.8104133171,144.9710043892,40,Lonsdale St-Spring St (West)
118,Punch Lane,4.8,Restaurant,4,-37.8108116997,144.9713500589,40,Lonsdale St-Spring St (West)
119,Sunda,4.3,Restaurant,4,-37.8105023177,144.9710365757,40,Lonsdale St-Spring St (West)
120,Black Rabbit Bar,3.6,Bar,3,-37.8164942451,144.9611643702,36,Queen St (West)
121,GG EZ Bar,3.7,Bar,3,-37.816391479,144.9611670524,36,Queen St (West)
122,Brioche By Philip,4.1,Bakery,2,-37.8162084596,144.9610942975,36,Queen St (West)
123,The Bank on Collins,3.8,Restaurant,4,-37.8169050433,144.9612696469,36,Queen St (West)
124,Aki Sushi,2.9,Restaurant,2,-37.8161035742,144.9609182775,36,Queen St (West)
125,iBean,3.9,Cafe,1,-37.8160566935,144.9610668048,36,Queen St (West)
126,Shamble Coffee Brewers,3.9,Cafe,1,-37.8161647574,144.9606353045,36,Queen St (West)
127,BE.AN by Workshop Brothers,3.7,Cafe,2,-37.8168208179,144.960571602,36,Queen St (West)
128,Let's Bangkok,3.0,Restaurant,3,-37.816173233,144.9605736136,36,Queen St (West)
129,Smokestak,2.9,Cafe,2,-37.8159637267,144.9608864263,36,Queen St (West)
130,The Irish Times,4.0,Pub,3,-37.8162060758,144.96052064,36,Queen St (West)
131,Curry Vault Indian Restaurant & Bar,4.3,Restaurant,3,-37.8165141097,144.9604093283,36,Queen St (West)
132,Roti Bar,3.8,Restaurant,3,-37.8159859752,144.960782826,36,Queen St (West)
133,The Mitre Tavern Steakhouse & Grill,4.2,Restaurant,4,-37.8167853267,144.9604529142,36,Queen St (West)
134,Little Brother,3.9,Restaurant,3,-37.8162103136,144.9604539201,36,Queen St (West)
136,Mitre Tavern,3.3,Pub,3,-37.8167553975,144.9603992701,36,Queen St (West)
137,Lanai,3.4,Restaurant,3,-37.815893538,144.9608807266,36,Queen St (West)
138,Natural History Public Bar,3.8,Restaurant,4,-37.8172162525,144.9612659589,36,Queen St (West)
139,Tengu Melbourne,3.8,Restaurant,2,-37.8162322972,144.960388206,36,Queen St (West)
140,Kinfolk,4.5,Cafe,3,-37.8169254375,144.9539948255,58,Bourke St - Spencer St (North)
144,Dot Spot,3.1,Restaurant,2,-37.8167442734,144.9542875215,58,Bourke St - Spencer St (North)
